greek,southern_us,filipino,indian,jamaican,spanish,italian,mexican,chinese,british,thai,vietnamese,cajun_creole,brazilian,french,japanese,irish,korean,moroccan,russian,general,cuisine
6,1,0,2,0,0,6,7,1,0,1,1,1,0,3,0,0,0,1,0,8,greek
0,5,0,1,3,0,2,1,1,2,0,0,2,0,1,1,1,0,0,0,14,southern_us
0,0,1,2,0,0,1,3,1,0,1,0,1,0,2,1,0,1,0,0,18,filipino
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,indian
1,3,0,14,2,2,3,5,5,1,4,1,3,1,1,6,0,1,3,0,22,indian
0,2,0,4,2,0,1,1,3,3,1,1,1,0,1,2,1,0,1,1,18,jamaican
1,2,0,2,0,5,3,7,2,0,2,2,3,2,1,1,0,0,2,1,16,spanish
0,1,0,2,0,0,4,0,0,1,0,0,0,0,1,0,2,0,0,0,12,italian
0,4,2,2,1,2,3,15,5,2,3,3,0,2,0,3,1,1,1,0,10,mexican
3,2,0,1,0,2,5,4,0,0,1,1,3,1,2,0,0,0,2,1,6,italian
2,6,0,1,0,3,10,8,1,2,1,0,6,0,5,1,0,1,0,1,8,italian
1,7,5,7,2,2,7,6,15,2,7,7,3,1,4,5,1,5,1,0,10,chinese
2,3,0,2,0,2,12,4,2,0,0,0,1,1,4,1,0,1,1,2,6,italian
2,6,0,7,3,4,7,13,6,0,8,6,3,5,1,6,0,3,4,0,18,mexican
1,5,0,1,0,1,12,3,1,0,1,0,1,0,7,0,0,0,1,1,10,italian
1,0,1,11,1,0,3,2,2,0,2,2,0,0,0,4,0,2,3,0,8,indian
1,3,0,2,0,0,4,2,0,2,0,0,1,0,2,0,1,0,1,1,0,british
0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,italian
0,1,0,1,1,0,0,2,3,0,3,2,0,1,0,1,0,0,0,0,2,thai
3,6,2,5,3,2,6,9,10,1,6,5,5,1,4,5,1,3,2,0,10,vietnamese
2,4,4,6,1,4,4,7,11,0,15,10,3,2,0,4,0,2,2,0,2,thai
1,1,2,3,1,2,1,6,2,0,2,2,0,2,0,1,0,0,1,0,6,mexican
1,3,0,1,0,1,1,1,0,1,0,0,2,0,2,0,1,0,0,1,6,southern_us
1,2,2,8,2,1,4,8,9,0,9,4,1,1,0,5,0,5,2,0,4,chinese
4,3,0,1,0,3,13,5,1,0,2,1,4,1,4,0,0,1,3,2,4,italian
0,2,4,3,0,0,2,4,17,0,10,8,0,0,0,6,1,5,0,1,10,chinese
0,1,0,5,1,0,4,7,3,0,3,3,0,0,0,1,0,1,1,0,8,cajun_creole
1,2,0,0,0,0,8,4,5,0,2,0,3,1,2,0,0,0,0,0,12,italian
1,3,2,3,3,1,2,4,11,1,4,3,1,0,1,3,1,1,0,0,14,chinese
1,3,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,2,mexican
0,2,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,6,italian
3,12,2,5,2,5,7,8,6,2,5,4,12,4,5,3,2,3,3,1,14,cajun_creole
3,5,0,4,3,3,7,8,3,0,3,1,5,1,2,2,0,2,2,0,8,mexican
0,1,2,5,0,0,0,4,7,0,14,6,0,1,1,2,0,6,2,0,10,thai
3,3,1,2,0,2,7,5,0,0,0,0,3,1,3,0,0,0,1,0,8,italian
1,6,1,2,3,4,3,5,2,1,1,1,12,2,3,2,1,1,1,0,4,cajun_creole
0,2,1,1,1,1,7,1,1,0,1,1,2,1,4,1,0,1,0,0,8,italian
0,1,3,4,0,1,3,2,5,0,2,2,1,0,1,1,0,0,1,0,12,filipino
1,5,0,1,1,1,3,8,2,0,1,0,3,0,1,2,1,1,1,1,6,southern_us
1,10,0,3,1,1,5,4,2,1,2,2,2,1,2,1,1,2,1,1,14,southern_us
0,1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,2,italian
